"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"COAL-AREA";"COAL-ID";"COAL-NAME";"Coal01";"IDRAIL";"DIST-RAIL";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y"
"AR78410";"rostov";"RUS79";"Russie";57.18333333;39.41666667;"O";0;0;852;;;0;0;0;0;3445;2853.826748;29.2;30.8;31.5;35.7;34.141;31.791
"AR49401";"Veliki Novgorod";"RUS43";"Russie";58.51666667;31.28333333;"O";1;0;859;"1B3";;0;0;0;0;2484;1430.783768;62.909;132.279;196.3;243.015;233.32;228.336
"AR66401";"Smolensk";"RUS61";"Russie";54.78333333;32.05;"O";1;0;862;"1B3";;0;0;0;0;5161;2702.023351;160.023;230.62;299.247;341.5;325.137;326.863
"AR58401";"Pskov";"RUS54";"Russie";57.81666667;28.33333333;"O";1;0;903;"1B3";;0;0;0;0;2897;2297.447639;81.3;126.7;175.7;203.8;202.78;203.281
"AR78420";"uglich";"RUS79";"Russie";57.53333333;38.33333333;"O";0;0;937;;;0;0;0;0;3206;370.1809402;28.9;35.5;39.1;40;38.26;34.505
"AR15256501";"trubchevsk";"RUS11";"Russie";52.58333333;33.76666667;"O";0;0;975;;;0;0;0;0;7948;592.7277671;11.842;12.1;14.4;16.3;16.342;15.014
"AR15401";"Briansk";"RUS11";"Russie";53.25;34.36666667;"O";1;0;985;"1B2";;0;0;0;0;6945;3557.934506;218.3;330.6;408.2;467.4;447.03;429.514
"AR17445";"suzdalj";"RUS75";"Russie";56.43333333;40.43333333;"O";0;0;1024;;;0;0;0;0;4039;21982.8832;;10.2;11.5;12.1;11.357;10.535
"AR78401";"Iaroslavl";"RUS79";"Russie";57.63333333;39.86666667;"O";1;0;1071;"1B2";;0;0;0;0;3022;1554.07511;407.1;517.3;597;633;613.088;591.486
"AR28255501";"toropec";"RUS74";"Russie";56.5;31.63333333;"O";0;0;1074;;;0;0;0;0;3967;163.1389836;15.2;16.9;17.3;17.5;14.6;13.018
"AR38401";"Koursk";"RUS32";"Russie";51.71666667;36.18333333;"O";1;0;1095;"1B2";;0;0;0;0;9110;1827.389504;204.7;284.2;375.3;424.2;412.442;414.595
"AR17401";"Vladimir";"RUS75";"Russie";56.13333333;40.41666667;"O";1;0;1108;"1B3";;0;0;0;0;4154;562.5035692;153.9;237.937;304.85;366.343;327.572;345.598
"AR46205501";"volokolamsk";"RUS40";"Russie";56.03333333;35.95;"O";0;0;1135;;;0;0;0;0;4320;5074.261954;;20.901;24.005;24.001;20.303;23.386
"AR28450";"torzhok";"RUS74";"Russie";57.03333333;34.96666667;"O";0;0;1139;;;0;0;0;0;3354;3070.419107;34.9;45.4;47.2;50;48.967;47.702
"AR45";"Moscou";"RUS14";"Russie";55.75;37.61666667;"O";1;0;1145;"1A1";;0;0;0;0;4468;1534.097797;7186.148;9061.219;10480.741;11625.098;13028.998;14425.208
"AR15224501";"karachev";"RUS11";"Russie";53.11666667;34.98333333;"O";0;0;1146;;;0;0;0;0;7309;743.7176567;11.2;16;19.7;22.4;20.175;19.715
"AR54410";"mcensk";"RUS46";"Russie";53.28333333;36.56666667;"O";0;0;1146;;;0;0;0;0;7256;572.7316177;14.3;27.8;41.8;48.4;47.807;43.216
"AR42415";"elec";"RUS36";"Russie";52.61666667;38.51666667;"O";0;0;1146;"3A2";;0;0;0;0;7647;190.7109562;77.9;100.7;111.7;120.3;116.726;108.404
"AR11218501";"kargopol";"RUS05";"Russie";61.5;38.93333333;"O";0;0;1146;;;0;0;0;0;1005;40651.74323;;11.4;10.7;12.5;11.192;10.148
"AR29216501";"kozeljsk";"RUS22";"Russie";54.03333333;35.78333333;"O";0;0;1146;;;108000000000;122;"Podmoscovny basin";1;5867;528.7238594;12.1;13;19.8;19.7;19.907;18.203
"AR70401";"Toula";"RUS72";"Russie";54.2;37.61666667;"O";1;0;1146;"1B2";;108000000000;122;"Podmoscovny basin";1;5633;2214.674736;479.935;652.797;713.263;735.35;658.671;620.83
"AR19401";"Vologda";"RUS77";"Russie";59.21666667;39.9;"O";1;0;1147;"1B3";;0;0;0;0;2087;346.7153068;139.1;177.8;236.5;282.8;293.046;301.642
"AR66214501";"dorogobuzh";"RUS61";"Russie";54.91666667;33.3;"O";0;0;1150;;;108000000000;122;"Podmoscovny basin";1;5062;1196.65351;;;;12.3;12.25;10.72
"AR78405";"peslavzales";"RUS79";"Russie";56.73333333;38.85;"O";0;0;1152;;;0;0;0;0;3704;1302.098368;23.1;30.1;37.5;42.3;43.379;41.923
"AR61405";"kasimov";"RUS56";"Russie";54.93333333;41.4;"O";0;0;1152;;;0;0;0;0;5109;364.9510482;27.9;33.1;34.2;37.5;35.816;33.494
"AR28401";"Tver";"RUS74";"Russie";56.86666667;35.9;"O";1;0;1164;"1B2";;0;0;0;0;3513;1248.092561;261;345.1;411.5;450.9;408.903;403.726
"AR58410";"velikie luki";"RUS54";"Russie";56.33333333;30.51666667;"O";0;0;1166;"2A";;0;0;0;0;3984;61.40216021;58.9;85.3;101.5;113.7;104.979;98.778
"AR49413";"starajarusa";"RUS43";"Russie";57.98333333;31.35;"O";0;0;1167;;;0;0;0;0;2876;503.9652921;25.4;34.6;40.4;41.5;35.511;31.809
"AR19410";"velustug";"RUS77";"Russie";60.76666667;46.3;"O";0;0;1212;;;0;0;0;0;1108;513.947627;37;36.7;37.9;36.2;33.419;31.664
"AR34401";"Kostroma";"RUS30";"Russie";57.76666667;40.93333333;"O";1;0;1213;"1B3";;0;0;0;0;2933;227.306337;171.7;223;254.7;278.4;278.75;268.617
"AR22401";"Nijni-Novgorod";"RUS42";"Russie";56.31666667;44;"O";1;0;1221;"1B1";;0;0;0;0;4084;1672.339038;1256.441;1594.859;1825.479;1954.795;1795.488;1723.12
"AR24237501";"jurjevec";"RUS18";"Russie";57.31666667;43.1;"O";0;0;1225;;;0;0;0;0;2999;49458.87709;19.7;20.1;18.3;16.5;12.664;10.205
"AR46233501";"mozhajsk";"RUS40";"Russie";55.5;36.03333333;"O";0;0;1231;;;0;0;0;0;4655;130.8624849;15.7;20.3;27.1;30.7;31.459;31.388
"AR28420";"kashin";"RUS74";"Russie";57.35;37.61666667;"O";0;0;1238;;;0;0;0;0;3204;2832.128759;16.2;17.7;19.8;21.2;17.299;16.174
"AR34408";"galich";"RUS30";"Russie";58.38333333;42.35;"O";0;0;1238;;;0;0;0;0;2567;2685.73533;16.1;19.4;21.3;21.7;19.151;17.346
"AR58247501";"porhov";"RUS54";"Russie";57.76666667;29.55;"O";0;0;1239;;;0;0;0;0;2914;449.1717178;;11;13.4;14.2;12.263;10.608
"AR66205501";"vjazma";"RUS61";"Russie";55.2;34.3;"O";0;0;1239;;;108000000000;122;"Podmoscovny basin";1;4842;458.4065578;31.9;44.1;51.7;59;57.545;57.103
"AR61401";"Riazan";"RUS56";"Russie";54.61666667;39.71666667;"O";1;0;1301;"1B2";;0;0;0;0;5322;524.8063237;224.3;367.5;471.1;533.3;540.71;543.44
"AR46470";"serpuhov";"RUS40";"Russie";54.91666667;37.4;"O";0;0;1328;"3A1";;108000000000;122;"Podmoscovny basin";1;5115;381.6121692;106.4;124.3;139.7;143.6;131.097;126.496
"AR46430";"zvenigorod";"RUS40";"Russie";55.73333333;36.85;"O";0;0;1336;;;0;0;0;0;4563;1466.006422;;10.6;12.3;15.8;12.155;16.395
"AR70202501";"aleksin";"RUS72";"Russie";54.5;37.06666667;"O";0;0;1348;;;108000000000;122;"Podmoscovny basin";1;5423;861.6726515;46.3;61.4;67.2;74.3;68.156;61.738
"AR29206501";"borovsk";"RUS22";"Russie";55.2;36.48333333;"O";0;0;1356;;;0;0;0;0;4942;10401.58676;10.9;12.3;13.6;13.4;11.917;12.283
"AR29401";"Kalouga";"RUS22";"Russie";54.51666667;36.26666667;"O";1;0;1371;"1B3";;108000000000;122;"Podmoscovny basin";1;5399;672.087227;134.2;210.9;265;311.4;334.751;325.185
"AR70212501";"venjov";"RUS72";"Russie";54.35;38.26666667;"O";0;0;1371;;;108000000000;122;"Podmoscovny basin";1;5489;102.1836821;;;;13.2;16.167;15.22
"AR33401";"Kirov";"RUS28";"Russie";58.6;49.65;"O";1;0;1374;"1B2";;0;0;0;0;2434;1585.032776;278.379;370.073;436.972;499.53;480.411;473.668
"AR46249501";"ruza";"RUS40";"Russie";55.7;36.2;"O";0;0;1433;;;0;0;0;0;4655;20403.91926;;;10.9;14.6;13.516;13.495
"AR92401";"Kazan";"RUS65";"Russie";55.78333333;49.11666667;"O";1;0;1437;"1B1";;76767000000;63;"Kamskaya  coal-bearing territory";1;4425;364.4546767;775.603;1006.832;1148.838;1268.176;1281.241;1313.825
"AR33410";"kotelnich";"RUS28";"Russie";58.3;48.33333333;"O";0;0;1489;;;0;0;0;0;2595;1033.162263;27.7;29.2;32.8;36.8;28.245;24.979
"AR41417";"vyborg";"RUS35";"Russie";60.71666667;28.75;"O";0;0;1493;"3A2";;0;0;0;0;1134;570.5887522;51.1;65.2;75.6;80.9;79.224;80.013
"AR15244501";"pochep";"RUS11";"Russie";52.93333333;33.45;"O";0;0;1503;;;0;0;0;0;7383;743.1463406;15.7;16;15.9;16.9;17.064;17.161
"AR46216501";"zarajsk";"RUS40";"Russie";54.76666667;38.88333333;"O";0;0;1528;;;108000000000;122;"Podmoscovny basin";1;5191;468.6798624;20.8;23.7;26.7;27;25.093;24.648
"AR12401";"Astrakhan";"RUS06";"Russie";46.35;48.03333333;"O";1;1;1558;"1B2";;0;0;0;0;16546;2026.51546;295.8;410.5;461;509.2;504.501;520.662
"AR54401";"Orel";"RUS46";"Russie";52.96666667;36.08333333;"O";1;0;1566;"1B3";;0;0;0;0;8893;73.90761364;152.962;234.974;312.432;349.25;345.409;329.849
"AR57430";"solikamsk";"RUS52";"Russie";59.63333333;56.76666667;"E";0;0;1573;;;0;0;0;0;1920;784.0607311;82.9;88.6;101.2;110.1;102.531;97.239
"AR22403";"arzamas";"RUS42";"Russie";55.4;43.81666667;"O";0;0;1578;;;0;0;0;0;4852;1686.294292;41.5;67.5;93.3;109;109.432;106.367
"AR11401";"Arkhanguelsk";"RUS05";"Russie";64.55;40.53333333;"O";1;0;1584;"1B2";;0;0;0;0;186;1172.632689;272.6;376.8;432.8;466.1;399.434;389.328
"AR20401";"Voronej";"RUS78";"Russie";51.66666667;39.18333333;"O";1;0;1586;"1B1";;0;0;0;0;9072;184.9987476;470.672;711.104;851.677;971.439;942.327;980.581
"AR36401";"Samara";"RUS59";"Russie";53.18333333;50.11666667;"O";1;1;1586;"1B1";;0;0;0;0;7077;682.6903059;901.6;1187.9;1367.3;1408.157;1323.936;1328.211
"AR80401";"Oufa";"RUS07";"Russie";54.73333333;55.96666667;"E";1;1;1586;"1B1";;0;0;0;0;5248;909.345667;546.9;770.9;969.3;1082.1;1042.437;1062.3
"AR71401";"Tioumen";"RUS70";"Russie";57.15;65.53333333;"E";1;0;1586;"1B3";;0;0;0;0;3264;30.18463249;150.2;268.5;359;481.914;516.059;581.758
"AR18401";"Volgograd";"RUS76";"Russie";48.7;44.48333333;"O";1;0;1589;"1B1";;0;0;0;0;13790;367.6619019;688.569;1000.8;1186.911;1323.553;1397.346;1396.94
"AR63401";"Saratov";"RUS60";"Russie";51.53333333;46;"O";1;1;1590;"1B1";;0;0;0;0;9332;1016.081478;689.968;910.441;1044.421;1114.71;1099.126;1074.596
"AR71410";"tobolsk";"RUS70";"Russie";58.2;68.25;"E";0;0;1590;;;0;0;0;0;2641;2576.73338;39;49.3;69.181;103.648;101.639;99.698
"AR14440";"staryjoskol";"RUS08";"Russie";51.3;37.83333333;"O";0;0;1593;;;0;0;0;0;9711;348.4384067;27.5;51.5;114.9;173.9;215.898;221.163
"AR14420";"valujki";"RUS08";"Russie";50.18333333;38.11666667;"O";0;0;1593;;;48276000000;127;"Pripiatskaya coal-bearing territory";1;12152;188.9060638;18.1;29.1;32.1;34.9;35.79;35.322
"AR14401";"Belgorod";"RUS08";"Russie";50.6;36.6;"O";1;0;1593;"1B3";;135000000000;37;"Dneprovsko-Donetzkaya  coal-bearing territory";1;11457;406.2589808;72.3;151.3;245.785;311.127;352.362;373.025
"AR33413";"slobodskoj";"RUS28";"Russie";58.71666667;50.18333333;"O";0;0;1599;;;0;0;0;0;2419;540.9347741;34.31;38.039;40.528;43.391;42.777;33.983
"AR65254501";"turinsk";"RUS63";"Russie";58.03333333;63.7;"E";0;0;1600;;;0;0;0;0;2792;1569.788211;18.8;22.2;22.9;23.2;19.313;17.923
"AR69401";"Tomsk";"RUS71";"Russie";56.5;84.96666667;"E";1;0;1604;"1B2";;816000000000;107;"Ob`-Irtyshskaya coal-bearing territory";1;4195;488.1121589;248.8;338.4;420.7;502;487.838;522.94
"AR17415";"vjazniki";"RUS75";"Russie";56.23333333;42.16666667;"O";0;0;1608;;;0;0;0;0;4159;3139.272193;39.4;42.7;45.9;45.4;40.398;41.252
"AR42233501";"lebedjanj";"RUS36";"Russie";53.01666667;39.15;"O";0;0;1613;;;0;0;0;0;7630;1823.02988;11.659;12.3;20;22.9;22.966;20.991
"AR68401";"Tambov";"RUS64";"Russie";52.71666667;41.43333333;"O";1;0;1636;"1B3";;0;0;0;0;7538;1199.576361;197.7;263.1;307.9;343.1;327.712;312.308
"AR98401";"Iakoutsk";"RUS15";"Russie";62.03333333;129.7333333;"E";1;1;1642;"1B4";;237200000;85;"Lensky basin";1;4799;649400.8969;74.3;111.349;158.528;198.71;226.429;269.486
"AR73401";"Oulianovsk";"RUS50";"Russie";54.31666667;48.38333333;"O";1;0;1648;"1B2";;0;0;0;0;5567;906.7079253;213.422;368.462;486.213;651.289;663.574;640.205
"AR89401";"Saransk";"RUS39";"Russie";54.18333333;45.18333333;"O";1;0;1651;"1B3";;0;0;0;0;5795;1478.605958;115.9;231.7;312.1;363.1;354.656;344.954
"AR76228501";"nerchinsk";"RUS80";"Russie";51.98333333;116.5833333;"E";0;0;1658;;;0;0;0;0;8679;252.80265;13.5;13.4;16.9;17;15.748;14.976
"AR56401";"Penza";"RUS51";"Russie";53.2;45.01666667;"O";1;0;1663;"1B2";;0;0;0;0;7471;491.0875509;255.5;373.7;482.9;542.6;518.025;517.137
"AR61415";"skopin";"RUS56";"Russie";53.81666667;39.55;"O";0;0;1663;;;108000000000;122;"Podmoscovny basin";1;6190;318.1339754;23.599;34.8;36.129;38.297;33.175;30.374
"AR25401";"Irkoutsk";"RUS17";"Russie";52.28333333;104.3;"E";1;0;1686;"1B2";;62239300;54;"Irkutsky basin";1;8935;4879.590191;378.9;480.9;590.4;673.8;641.124;635.185
"AR60404";"azov";"RUS55";"Russie";47.1;39.41666667;"O";0;0;1696;;;0;0;0;0;15970;2368.342935;39.9;59.3;75.1;80.3;82.09;82.882
"AR63428";"petrovsk";"RUS60";"Russie";52.31666667;45.38333333;"O";0;0;1698;;;0;0;0;0;8729;1813.004739;25;31;34.2;34.8;33.956;31.158
"AR40";"Saint-Petersbourg";"RUS57";"Russie";59.95;30.31666667;"O";1;0;1703;"1A1";;0;0;0;0;1477;20.8773457;3266.874;3983.679;4568.107;5005.419;4661.219;4848.742
"AR89234501";"krasnslobod";"RUS39";"Russie";54.43333333;43.78333333;"O";0;0;1706;;;0;0;0;0;5243;32536.333;;;10.1;11.3;10.843;10.151
"AR20233501";"pavlovskv";"RUS78";"Russie";50.45;40.11666667;"O";0;0;1709;;;0;0;0;0;11812;35143.54275;12.1;14.8;21;25.9;26.365;25.126
"AR27212501";"gusev";"RUS20";"Russie";54.58333333;22.2;"O";0;1;1724;;;0;0;0;0;5313;84.48390787;14.2;22.1;24.6;27;28.467;28.26
"AR57240501";"osa";"RUS52";"Russie";57.28333333;55.45;"E";0;1;1737;;;0;0;0;0;2820;66393.55899;12.7;15;20;24.1;23.452;21.191
"AR53401";"Orenbourg";"RUS47";"Russie";51.76666667;55.1;"E";1;1;1743;"1B2";;196000000000;166;"Uralo-Kaspiysky basin";1;8888;68.74964314;267.3;344.3;458.7;546.5;549.361;546.987
"AR66236501";"roslavlj";"RUS61";"Russie";53.95;32.85;"O";0;0;1755;;;0;0;0;0;6094;32.69012122;37.4;48.5;56;60.5;57.701;54.898
"AR80405";"belebej";"RUS07";"Russie";54.1;54.13333333;"E";0;1;1757;;;0;0;0;0;5876;1697.782004;26.2;32.5;43.2;53.4;60.928;60.183
"AR49208501";"valdaj";"RUS43";"Russie";57.96666667;33.25;"O";0;0;1770;;;0;0;0;0;2811;952.2911885;10.6;14.1;17.9;19.2;18.703;16.099
"AR49408";"borovichi";"RUS43";"Russie";58.4;33.9;"O";0;0;1770;;;0;0;0;0;2620;708.8245204;44.1;54.8;59.6;63;57.755;53.699
"AR28414";"Vychnii Volochek";"RUS74";"Russie";57.58333333;34.56666667;"O";0;0;1770;"3A2";;0;0;0;0;3032;840.4888995;66.4;73.7;71.7;64.8;56.405;52.326
"AR28440";"ostashkov";"RUS74";"Russie";57.15;33.1;"O";0;0;1770;;;108000000000;122;"Podmoscovny basin";1;3253;998.3457267;19.5;23.4;24.4;27.4;20.66;18.073
"AR58220501";"nevelj";"RUS54";"Russie";56.01666667;29.93333333;"O";0;0;1772;;;0;0;0;0;4225;642.7048302;14.6;17.8;20.6;22.5;18.545;16.324
"AR41460";"tihvin";"RUS35";"Russie";59.63333333;33.5;"O";0;0;1773;;;0;0;0;0;1776;707.2027806;18.4;34;58.6;71.4;63.338;58.843
"AR19222501";"vytegra";"RUS77";"Russie";61;36.45;"O";0;0;1773;;;0;0;0;0;821;82109.11564;11.3;11.7;12;12.9;11.4;10.49
"AR28222501";"kaljazin";"RUS74";"Russie";57.23333333;37.85;"O";0;0;1775;;;0;0;0;0;3206;1230.154462;11.1;11.3;13.9;15.5;14.82;13.87
"AR60437";"taganrog";"RUS55";"Russie";47.23333333;38.9;"O";0;0;1775;"3A1";;0;0;0;0;15808;1075.467997;202.1;254.2;276.4;291.6;281.947;257.692
"AR65432";"irbit";"RUS63";"Russie";57.66666667;63.06666667;"E";0;1;1775;;;0;0;0;0;3051;2314.883144;45.3;49.3;51.3;51.7;43.318;38.352
"AR81401";"Oulan-Oude";"RUS10";"Russie";51.83333333;107.6166667;"E";1;0;1775;"1B3";;0;0;0;0;9473;1541.410376;175.2;253.6;304.29;367.695;375.417;404.357
"AR25220501";"kirensk";"RUS17";"Russie";57.78333333;108.1;"E";0;0;1775;;;0;0;0;0;4542;146020.5387;14.4;14.5;16.2;16.1;13.712;12.652
"AR28445";"rzhev";"RUS74";"Russie";56.25;34.33333333;"O";0;0;1775;;;108000000000;122;"Podmoscovny basin";1;4528;460.5947928;49;60.7;68.9;69.8;63.729;62.026
"AR58240501";"pechory";"RUS54";"Russie";57.81666667;27.6;"O";0;0;1776;;;0;0;0;0;2913;2054.670645;;;10.3;11.9;13.056;11.195
