"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"AR98409";"njurba";"RUS15";"Russie";63,28333333;118,3333333;"E";0;1;;;;;10;10.6;11.9;10.309;10.156;
"AR17246520";"pokrov";"RUS75";"Russie";55,91666667;39,18333333;"O";0;0;;;;;10;14.6;16;15.92;17.762;
"AR152045510";"Lokot";"RUS11";"Russie";52,57;34,58;"O";0;0;;;;;10.005;10.229;11.191;12.094;10.028;
"ALE01118";"Dobele";"LET00";"Lettonie";56,62;23,28;"O";0;0;;;;;10.065;13.074;15.173;11.366;11.187;
"AUA04108";"Zelenodol sk";"UKR05";"Ukraine";47,6;33,68;"O";0;0;;;;;10.07;12.775;15.355;14.692;14.2;
"ABE05113";"Smargon";"BEL00";"Belarus";54,58;26,4;"O";0;0;;;;;10.095;16.503;30.839;36.2;36.356;
"AR66214553";"Verkhnedneprovskii";"RUS61";"Russie";54,98;33,33;"O";0;0;;;;;10.099;16.163;16.496;14.278;12.969;
"AR46462";"puschino";"RUS40";"Russie";54,83333333;37,61666667;"O";0;0;;;;;10.1;16.5;19.5;19.964;20.263;
"AR14254551";"Tchernyanka";"RUS08";"Russie";50,94;37,81;"O";0;0;;;;;10.106;11.795;13.475;15.067;15.217;
"AR81218";"Onokhoi";"RUS10";"Russie";51,92;108,03;"E";0;0;;;;;10.133;10.43;10.715;10.673;10.69;
"ABE07124";"Tcheven";"BEL00";"Belarus";53,71;28,43;"O";0;0;;;;;10.136;11.461;11.46;10.836;10.091;
"ALI06106";"Naujoji Akmeni";"LIT00";"Lithuanie";56,32;22,9;"O";0;0;;;;;10.175;14.448;13.657;12.193;11.096;
"AMO01123";"Drochia";"MOL00";"Moldavie";48,03;27,82;"O";0;0;;;;;10.178;14.44;21.298;17.166;17.5;
"AR92417";"zainsk";"RUS65";"Russie";55,3;52,01666667;"O";0;1;;;;17.616;10.184;30.3;36.6;41.088;41.798;
"AKA11203";"Zhanakorgan";"KAZ11";"Kazakhstan";43,91;67,25;"E";0;0;;;;;10.184;16.835;18.939;20.39;22.716;
"AUA25104";"Borzna";"UKR27";"Ukraine";51,25;32,43;"O";0;0;;;;10.131;10.188;11.532;12.506;11.634;10.65;
"AR22239501";"lukojanov";"RUS42";"Russie";55,03333333;44,48333333;"O";0;0;;;;;10.2;11.4;12.3;12.856;14.949;
"AR17445";"suzdalj";"RUS75";"Russie";56,43333333;40,43333333;"O";0;0;;;;;10.2;11.5;12.1;11.357;10.535;
"AR46246554000";"Lvovskii";"RUS40";"Russie";55,31;37,53;"O";0;0;;;;;10.224;10.194;12.858;11.906;10.759;
"AUA08205";"Yakimivka";"UKR09";"Ukraine";48,1;35,47;"O";0;0;;;;;10.24;11.509;13.034;12.742;12.042;
"AUA10123";"Oujrainka";"UKR12";"Ukraine";50,13;30,73;"O";0;0;;;;;10.244;14.393;16.327;14.127;15.168;
"AUA25103";"Bobrovitsya";"UKR27";"Ukraine";51,52;31,37;"O";0;0;;;;;10.257;12.14;12.796;11.884;11.204;
"AR102475515";"Seryshevo";"RUS04";"Russie";51,09;128,38;"E";0;0;;;;;10.279;11.522;13.456;12.186;10.69;
"AR86233501";"pitkjaranta";"RUS12";"Russie";61,56666667;31,48333333;"O";0;0;;;;;10.3;13.8;14.4;13.347;11.484;
"AR15254501";"surazh";"RUS11";"Russie";53,01666667;32,4;"O";0;0;;;;;10.3;10.6;12.6;12.046;11.64;
"ABE05114";"Shtchoutchyn";"BEL00";"Belarus";53,61;24,74;"O";0;0;;;;;10.337;12.856;15.364;16.08;15.052;
"AUA09102";"Bourshtin";"UKR10";"Ukraine";49,27;24,63;"O";0;0;;;;;10.338;13.122;14.416;15.243;15.311;
"AUA13144";"Yavoriv";"UKR15";"Ukraine";49,93;23,28;"O";0;0;;;;;10.354;12.413;13.029;13.486;12.873;
"AAZ05112";"Tovuz";"AZE00";"Azerbaidjan";40,99;45,63;"O";0;0;;;;;10.358;11.341;13.373;13.513;13.6;
"AUA10121";"Tetiiv";"UKR12";"Ukraine";49,38;29,67;"O";0;0;;;;;10.368;12.575;14.605;14.795;13.292;
"AKA05203";"Karkaly";"KAZ04";"Kazakhstan";0;0;"E";0;;;;;;10.392;13.767;16.468;18.178;20.114;
"AR57214501";"gornozavdsk";"RUS52";"Russie";58,38333333;58,31666667;"E";0;1;;;;10.1;10.4;10.7;14.9;13.061;12.056;
"AR52418";"tjukalinsk";"RUS45";"Russie";55,86666667;72,2;"E";0;0;;;;10.2;10.4;11.5;12.2;12.007;11.276;
"AR87244505";"mikunj";"RUS29";"Russie";62,35;50,06666667;"O";0;0;;;;11.3;10.4;11.3;12.5;11.68;10.732;
